Abdelmoumene DJABOU;Algeria;1. Forward
Adam KWARASEY;Ghana;1. Forward
Adam LALLANA;England;1. Forward
Adrian BONE;Ecuador;1. Forward
Albert ADOMAH;Ghana;1. Forward
Alessio CERCI;Italy;1. Forward
Alexander DOMINGUEZ;Ecuador;1. Forward
Alexander MEJIA;Colombia;1. Forward
Alexandre SONG;Cameroon;1. Forward
Alexey IONOV;Russia;1. Forward
Alireza HAGHIGHI;Iran;1. Forward
Allan NYOM;Cameroon;1. Forward
Andreas SAMARIS;Greece;1. Forward
Andrey SEMENOV;Russia;1. Forward
Angel DI MARIA;Argentina;1. Forward
Anthony VANDEN BORRE;Belgium;1. Forward
Antonio CANDREVA;Italy;1. Forward
Arturo VIDAL;Chile;1. Forward
Ashkan DEJAGAH;Iran;1. Forward
Asmir BEGOVIC;Bosnia & Herzegovina;1. Forward
Atsuto UCHIDA;Japan;1. Forward
Benedikt HOEWEDES;Germany;1. Forward
Blaise MATUIDI;France;1. Forward
Camilo VARGAS;Colombia;1. Forward
Carlos BACCA;Colombia;1. Forward
Carlos CARMONA;Chile;1. Forward
Celso BORGES;Costa Rica;1. Forward
Cristian ZAPATA;Colombia;1. Forward
Cristopher TOSELLI;Chile;1. Forward
Daniel DAVARI;Iran;1. Forward
Dario VIDOSIC;Australia;1. Forward
DAVID LUIZ;Brazil;1. Forward
David OSPINA;Colombia;1. Forward
Diego COSTA;Spain;1. Forward
Domagoj VIDA;Croatia;1. Forward
Dries MERTENS;Belgium;1. Forward
Edder DELGADO;Honduras;1. Forward
EDER;Portugal;1. Forward
Efe AMBROSE;Nigeria;1. Forward
Ezequiel GARAY;Argentina;1. Forward
Fabian JOHNSON;USA;1. Forward
FABIO COENTRAO;Portugal;1. Forward
Felipe CAICEDO;Ecuador;1. Forward
Fraser FORSTER;England;1. Forward
Fredy GUARIN;Colombia;1. Forward
Frickson ERAZO;Ecuador;1. Forward
Gary MEDEL;Chile;1. Forward
Georgios TZAVELAS;Greece;1. Forward
GERVINHO;Ivory Coast;1. Forward
Giancarlo GONZALEZ;Costa Rica;1. Forward
Giovani DOS SANTOS;Mexico;1. Forward
Giovanni SIO;Ivory Coast;1. Forward
Gonzalo HIGUAIN;Argentina;1. Forward
Harrison AFFUL;Ghana;1. Forward
Hector MORENO;Mexico;1. Forward
HENRIQUE;Brazil;1. Forward
Hossein MAHINI;Iran;1. Forward
Hugo LLORIS;France;1. Forward
HULK;Brazil;1. Forward
Ignazio ABATE;Italy;1. Forward
Ioannis MANIATIS;Greece;1. Forward
Islam SLIMANI;Algeria;1. Forward
Ismael TIOTE;Ivory Coast;1. Forward
Ivan FRANJIC;Australia;1. Forward
Ivan PERISIC;Croatia;1. Forward
Ivan RAKITIC;Croatia;1. Forward
Jackson MARTINEZ;Colombia;1. Forward
James RODRIGUEZ;Colombia;1. Forward
Jaimen AYOVI;Ecuador;1. Forward
Jan VERTONGHEN;Belgium;1. Forward
Jasper CILLESSEN;Netherlands;1. Forward
Javi MARTINEZ;Spain;1. Forward
Javier HERNANDEZ;Mexico;1. Forward
Jeremain LENS;Netherlands;1. Forward
Jerome BOATENG;Germany;1. Forward
Jerry BENGTSON;Honduras;1. Forward
JO;Brazil;1. Forward
Joao ROJAS;Ecuador;1. Forward
Joe HART;England;1. Forward
John BOYE;Ghana;1. Forward
Jonathan DE GUZMAN;Netherlands;1. Forward
Jordi ALBA;Spain;1. Forward
Jose CUBERO;Costa Rica;1. Forward
Jose VAZQUEZ;Mexico;1. Forward
Juan Carlos GARCIA;Honduras;1. Forward
Juan CUADRADO;Colombia;1. Forward
Juan MATA;Spain;1. Forward
Juan PAREDES;Ecuador;1. Forward
Karim BENZEMA;France;1. Forward
Kevin GROSSKREUTZ;Germany;1. Forward
Kevin MIRALLAS;Belgium;1. Forward
Kevin Prince BOATENG;Ghana;1. Forward
Keylor NAVAS;Costa Rica;1. Forward
KI Sungyueng;South Korea;1. Forward
KIM Shinwook;South Korea;1. Forward
Konstantinos MITROGLOU;Greece;1. Forward
KOO Jacheol;South Korea;1. Forward
Kwadwo ASAMOAH;Ghana;1. Forward
Lazaros CHRISTODOULOPOULOS;Greece;1. Forward
LEE Bumyoung;South Korea;1. Forward
LEE Chungyong;South Korea;1. Forward
Leonardo BONUCCI;Italy;1. Forward
Liassine CADAMURO;Algeria;1. Forward
